Episode #,Training Iter,Epoch,In Heatup,ER #Transitions,ER #Episodes,Episode Length,Total steps,Epsilon,Shaped Training Reward,Training Reward,Update Target Network,Wall-Clock Time,Evaluation Reward,Shaped Evaluation Reward,Success Rate,Inverse Propensity Score,Direct Method Reward,Doubly Robust,Weighted Importance Sampling,Sequential Doubly Robust,Loss/Mean,Loss/Stdev,Loss/Max,Loss/Min,Learning Rate/Mean,Learning Rate/Stdev,Learning Rate/Max,Learning Rate/Min,Grads (unclipped)/Mean,Grads (unclipped)/Stdev,Grads (unclipped)/Max,Grads (unclipped)/Min,Discounted Return/Mean,Discounted Return/Stdev,Discounted Return/Max,Discounted Return/Min,Entropy/Mean,Entropy/Stdev,Entropy/Max,Entropy/Min,Advantages/Mean,Advantages/Stdev,Advantages/Max,Advantages/Min,Values/Mean,Values/Stdev,Values/Max,Values/Min,Value Loss/Mean,Value Loss/Stdev,Value Loss/Max,Value Loss/Min,Policy Loss/Mean,Policy Loss/Stdev,Policy Loss/Max,Policy Loss/Min,Value Targets/Mean,Value Targets/Stdev,Value Targets/Max,Value Targets/Min,KL Divergence/Mean,KL Divergence/Stdev,KL Divergence/Max,KL Divergence/Min,Likelihood Ratio/Mean,Likelihood Ratio/Stdev,Likelihood Ratio/Max,Likelihood Ratio/Min,Clipped Likelihood Ratio/Mean,Clipped Likelihood Ratio/Stdev,Clipped Likelihood Ratio/Max,Clipped Likelihood Ratio/Min
18,0.0,0.0,0.0,978.0,18.0,76.0,978.0,0.1,36.50800000000002,0.0,0.0,85.59052681922913,,,,,,,,,,,,,,,,,,,,,12.141890542653806,10.451532555962478,35.65649364956377,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,0.0,0.0,0.0,1011.0,19.0,33.0,1011.0,0.1,10.207999999999991,0.0,0.0,88.86431622505188,,,,,,,,,,,,,,,,,,,,,2.4757869767274294,3.1778139385874176,10.14658204728051,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,0.0,0.0,0.0,1066.0,20.0,55.0,1066.0,0.1,34.506,0.0,0.0,94.04893898963928,,,,,,,,,,,,,,,,,,,,,11.967677768083279,11.478053426685987,33.91557495709465,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,1.0,0.0,0.0,36.0,1.0,36.0,1102.0,0.1,18.70700000000002,0.0,0.0,191.92258715629578,,,,,,,,,,,,,,,,,,,,,5.846676948604599,6.358280791875681,18.533568232747502,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,1.0,0.0,0.0,262.0,2.0,226.0,1328.0,0.1,102.80800000000005,0.0,0.0,211.82321906089783,,,,,,,,,,,,,,,,,,,,,44.00591910306929,25.725187627149854,93.04866656717424,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,1.0,0.0,0.0,345.0,3.0,83.0,1411.0,0.1,39.806000000000026,0.0,0.0,219.31586360931396,,,,,,,,,,,,,,,,,,,,,14.76014830950648,10.796816698462875,38.65818540293143,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,1.0,0.0,0.0,400.0,4.0,55.0,1466.0,0.1,38.305,0.0,0.0,224.69304990768433,,,,,,,,,,,,,,,,,,,,,14.408587712314661,12.748340979019957,37.58766541899527,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,1.0,0.0,0.0,437.0,5.0,37.0,1503.0,0.1,19.70700000000002,0.0,0.0,228.26637649536133,,,,,,,,,,,,,,,,,,,,,6.242591615665291,6.702614207453266,19.515034664514754,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,1.0,0.0,0.0,463.0,6.0,26.0,1529.0,0.1,11.605999999999995,0.0,0.0,230.9513554573059,,,,,,,,,,,,,,,,,,,,,3.432431636361732,4.00837638179555,11.539824887404519,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,1.0,0.0,0.0,501.0,7.0,38.0,1567.0,0.1,16.509000000000015,0.0,0.0,234.62701082229614,,,,,,,,,,,,,,,,,,,,,4.4793898562855645,5.473715810843875,16.371509833618557,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
